city,timestamp,temperature,season
New York,2010-01-01,-5.4352833018351,winter
New York,2010-01-02,4.41016957586929,winter
New York,2010-01-03,-1.894650883031782,winter
New York,2010-01-04,2.6536784512916474,winter
New York,2010-01-05,-2.449465015025204,winter
New York,2010-01-06,1.758520155384571,winter
New York,2010-01-07,1.2846797133624683,winter
New York,2010-01-08,0.8559721801454077,winter
New York,2010-01-09,-7.979433916300981,winter
New York,2010-01-10,3.6152892578154217,winter
New York,2010-01-11,5.8244843986269625,winter
New York,2010-01-12,0.852732989956363,winter
New York,2010-01-13,-3.3791638900777015,winter
New York,2010-01-14,4.669203177315319,winter
New York,2010-01-15,-2.3834221372414417,winter
New York,2010-01-16,10.454536401020999,winter
New York,2010-01-17,1.7208671063653984,winter
New York,2010-01-18,-7.281236287777829,winter
New York,2010-01-19,-7.304429535295302,winter
New York,2010-01-20,3.941810579548279,winter
New York,2010-01-21,-3.7636536546784285,winter
New York,2010-01-22,2.321967968515783,winter
New York,2010-01-23,-2.433072935860163,winter
New York,2010-01-24,4.7566822444056385,winter
New York,2010-01-25,0.2493960899850893,winter
New York,2010-01-26,0.2420413357162245,winter
New York,2010-01-27,6.540610580852534,winter
New York,2010-01-28,-2.283274953740813,winter
New York,2010-01-29,-0.9293847203813428,winter
New York,2010-01-30,3.1609321062802938,winter
New York,2010-01-31,5.626156074383449,winter
New York,2010-02-01,-4.137741212289666,winter
New York,2010-02-02,-18.988540301501555,winter
New York,2010-02-03,0.09830253948960915,winter
New York,2010-02-04,2.637546223854218,winter
New York,2010-02-05,-5.276407077887127,winter
New York,2010-02-06,-0.6341981607013001,winter
New York,2010-02-07,-6.057207832185685,winter
New York,2010-02-08,2.6034763600549073,winter
New York,2010-02-09,-7.80204555401243,winter
New York,2010-02-10,-1.4431847749370887,winter
New York,2010-02-11,4.3331799566247735,winter
New York,2010-02-12,5.85251485836777,winter
New York,2010-02-13,-2.03718200327993,winter
New York,2010-02-14,9.48062414284556,winter
New York,2010-02-15,-2.3996553135666967,winter
New York,2010-02-16,2.948658205864518,winter
New York,2010-02-17,4.48677493944143,winter
New York,2010-02-18,2.8617701409285545,winter
New York,2010-02-19,1.4728528858280816,winter
New York,2010-02-20,-5.137939711750207,winter
New York,2010-02-21,5.2710830835702085,winter
New York,2010-02-22,-5.412550241653511,winter
New York,2010-02-23,-3.0146662313554513,winter
New York,2010-02-24,-5.802212640313309,winter
New York,2010-02-25,-1.4972747176693688,winter
New York,2010-02-26,-0.5576056892314931,winter
New York,2010-02-27,2.067917305528258,winter
New York,2010-02-28,1.4524188521616301,winter
New York,2010-03-01,12.49293680727544,spring
New York,2010-03-02,16.44885733055755,spring
New York,2010-03-03,18.289585883259075,spring
New York,2010-03-04,11.958530491785147,spring
New York,2010-03-05,2.849051455118504,spring
New York,2010-03-06,7.38934408781464,spring
New York,2010-03-07,15.930396470653852,spring
New York,2010-03-08,11.461383816440346,spring
New York,2010-03-09,4.615731026514563,spring
New York,2010-03-10,11.714456495752678,spring
New York,2010-03-11,13.32035937198791,spring
New York,2010-03-12,21.924476582142564,spring
New York,2010-03-13,19.4705572615533,spring
New York,2010-03-14,9.877100744662792,spring
New York,2010-03-15,17.1299744565283,spring
New York,2010-03-16,5.224930961132753,spring
New York,2010-03-17,7.823903633714744,spring
New York,2010-03-18,9.15751608361604,spring
New York,2010-03-19,9.792353052424783,spring
New York,2010-03-20,-3.916553530384533,spring
New York,2010-03-21,6.764441982112116,spring
New York,2010-03-22,5.150605514671387,spring
New York,2010-03-23,4.929476486709462,spring
New York,2010-03-24,14.995051926694362,spring
New York,2010-03-25,12.18118124444943,spring
New York,2010-03-26,12.053715732724744,spring
New York,2010-03-27,10.306570162510049,spring
New York,2010-03-28,10.494571240118088,spring
New York,2010-03-29,16.0092601921452,spring
New York,2010-03-30,18.618413245748727,spring
New York,2010-03-31,17.040358421728097,spring
New York,2010-04-01,14.116032829997689,spring
New York,2010-04-02,10.674357775022212,spring
New York,2010-04-03,11.565522055896935,spring
New York,2010-04-04,7.60403287576817,spring
